Benchmark;Dimensions;OffspringPopSize;GenerationsNumber;AllowQuadraticTerms;UseRedundantConstraintsRemoving;UseSeeding;UseDataNormalization;ConstraintsNumber;NonZeroTermsNumber;JaccardTrainingSet;JaccardTestSet;Precision;Recall;F1Score;MeanAngle;LastFitnessScore;NumberOfGenerationBestSolutionTakenFrom;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;Accuracy;FallOut;FalseDiscoveryRate;FalseOmissionRate;MissRate;NegativePredictiveValue;Specificity
Simplexn;2;1000;100;False;True;False;False;3;---;0,898466030202262;0,978652856712206;0,985431351024961;0,993024920472635;0,98917325990665;0,0335222888124736;0,897766992444701;52;9640;144;90148;68;0,997880666666667;0,00159704463561106;0,0145686489750384;0,000750929121848805;0,00697507952736525;0,999249070878151;0,998402955364389
Simplexn;2;1000;100;False;True;False;True;3;---;0,897204461992576;0,970680525360798;0,977335396459724;0,993015367887662;0,985053179693254;0,0344659479109898;0,896466935375619;64;9640;226;90066;68;0,997058666666667;0,00250725712305345;0,0226646035402761;0,000752114696135534;0,00698463211233774;0,999247885303865;0,997492742876946
Simplexn;2;1000;100;False;True;True;False;3;---;0,898405458045897;0,0316086998484005;0,0322107371769002;0,0327211183236486;NaN;0,746583532564339;0,89773768591499;45;316;9454;87172;3058;0,874881;0,0977353705159182;0,9677892628231;0,0338783634057235;0,967278881676351;0,966121636594277;0,902264629484082
Simplexn;2;1000;100;False;True;True;True;3;---;0,8968505387358;0,0329074736257656;0,0332387104705871;0,0330620983885052;NaN;0,733294076236857;0,896281960790678;68;319;9557;87069;3055;0,873881333333333;0,0988176681340557;0,966761289529413;0,0339177406151539;0,966937901611495;0,966082259384846;0,901182331865945
Simplexn;3;100;1000;False;True;False;False;4;---;0,418140816750924;0,134970218612351;0,158208790645406;0,707581016486695;0,229683149381922;0,356641907753037;0,0262065185618793;176;914;8579;90129;378;0,910428666666667;0,0869108500272131;0,841791209354594;0,00404104328006252;0,292418983513305;0,995958956719937;0,913089149972787
Simplexn;3;100;1000;False;True;False;True;4;---;0,537529924910711;0,136623310678042;0,14180008509428;0,860077414536332;0,236768795432999;1,10715041316124;0,107121758449084;183;1111;9993;88716;181;0,898264333333333;0,101244849411061;0,85819991490572;0,0020233332887917;0,139922585463668;0,997976666711208;0,89875515058894
Simplexn;3;100;1000;False;True;True;False;6;---;0,441780258939481;0;0;NaN;NaN;0,895414461928376;0,0410791245243218;107;0;8382;91618;0;0,916182333333333;0,0838176666666667;1;0;NaN;1;0,916182333333333
Simplexn;3;100;1000;False;True;True;True;4;---;0,536682179005909;0;0;NaN;NaN;1,07515887194688;0,0695055926306056;194;0;8944;91056;0;0,910561;0,089439;1;0;NaN;1;0,910561
Simplexn;3;200;500;False;True;False;False;6;---;0,964244194148628;0,871027590479214;0,87801731689022;0,990934118119579;0,930659598956435;0,0919556939878087;0,963385024636925;353;1280;180;98528;12;0,998079666666667;0,00182728502936832;0,12198268310978;0,00011838614808927;0,00906588188042153;0,999881613851911;0,998172714970632
Simplexn;3;200;500;False;True;False;True;7;---;0,916421438314068;0,656931244967465;0,668224907719673;0,969134904704702;0,782390673290633;0,277960936430179;0,914359550417954;451;1252;722;97986;40;0,992376333333333;0,0073187748983209;0,331775092280327;0,000408729761713951;0,0308650952952982;0,999591270238286;0,992681225101679
Simplexn;3;200;500;False;True;True;False;6;---;0,965859264302619;0;0;NaN;NaN;0,221021327100263;0,964994216749049;357;0;1442;98558;0;0,985578333333333;0,0144216666666667;1;0;NaN;1;0,985578333333333
Simplexn;3;200;500;False;True;True;True;7;---;0,915162884455934;0;0;NaN;NaN;0,370269603650037;0,913759071758732;462;0;2092;97908;0;0,979075333333334;0,0209246666666667;1;0;NaN;1;0,979075333333334
Simplexn;3;500;200;False;True;False;False;6;---;0,965733452403305;0,874689309521484;0,881433435934065;0,991266612310552;0,932454914862892;0,0879277147950756;0,964862475951781;126;1280;177;98532;11;0,998118333333333;0,00179218810501042;0,118566564065936;0,000114339621812753;0,00873338768944825;0,999885660378187;0,99820781189499
Simplexn;3;500;200;False;True;False;True;7;---;0,931442918891377;0,693671597790161;0,705186948367316;0,974483126754121;0,812099832754077;0,279151903094912;0,929702421131243;175;1259;592;98117;33;0,993752;0,00599632982082514;0,294813051632683;0,000336050338880785;0,025516873245879;0,999663949661119;0,994003670179175
Simplexn;3;500;200;False;True;True;False;6;---;0,965967754014547;0;0;NaN;NaN;0,240055228202977;0,965097236629515;116;0;1458;98542;0;0,985415666666667;0,0145843333333333;1;0;NaN;1;0,985415666666667
Simplexn;3;500;200;False;True;True;True;6;---;0,943191820460317;0;0;NaN;NaN;0,321809093764804;0,940986206863367;180;0;1725;98275;0;0,982747333333334;0,0172526666666667;1;0;NaN;1;0,982747333333334
Simplexn;3;1000;100;False;True;False;False;5;---;0,964885873212773;0,87188453407284;0,876745828555188;0,993856400142186;0,9312565718075;0,0862230727842443;0,964392689300056;71;1284;183;98526;8;0,998091666666667;0,00185297162502062;0,123254171444812;8,04921928728793E-05;0,00614359985781388;0,999919507807127;0,998147028374979
